area,symptom,reproduction,evidence_path,severity,suspected_root_cause,suggested_fix
document-pipeline,PUBLISHED status text mismatch (badge renders 'Published' not 'PUBLISHED') — FIXED,Was: test checked exact 'PUBLISHED'; badge renders 'Published'. Also: manual Publish button needed when doc is RENDERED,OUT/e2e_runs/20260303_2340/,RESOLVED,DocumentStatusBadge uses title-case label; workflow requires manual Publish click after RENDERED state,Fixed in 06-document-pipeline.spec.ts: check 'Published' (title case) + click Publish button if visible
playwright-setup,Tests fail with libnspr4.so not found on VPS reboot,Reboot VPS then run pnpm e2e:lims,n/a,HIGH,Playwright Chromium requires system libs not present on bare Ubuntu 24.04; workaround uses /tmp/ which is ephemeral,Run: sudo npx playwright install --with-deps (needs root); or add persistent LD_LIBRARY_PATH to systemd service env
multi-order-behavior,Second order-lab call returns 200 instead of 409,POST /api/encounters/{id}:order-lab twice with same tests,OUT/e2e_runs/20260303_2306/report.json,MEDIUM,No duplicate-order guard in orderLab command handler; test 10 documents this as "allowed" behavior,Add guard: if encounter has active lab order return 409 (define business rule first)
verification-timing,Verification badge refetch test takes 8879ms (>5s warn threshold),Run tests/08-verification-badge-refetch.spec.ts in isolation,OUT/e2e_runs/20260303_2306/timings.json,MEDIUM,API response time for verify command + UI refetch cycle under test load,Profile verify command endpoint; add database index on encounter.id + status
result-entry-selectors,Results page inputs use placeholder text selector (fragile),Change placeholder text then run tests/05-operator-workflow.spec.ts,n/a,LOW,data-testid added to value inputs but selector in test uses placeholder fallback,Ensure all tests use data-testid selectors; remove placeholder-text fallbacks
verify-modal-timing,Verify modal confirm step takes 5934ms,Run tests/05-operator-workflow.spec.ts test 2,OUT/e2e_runs/20260303_2306/timings.json,LOW,Network round-trip for verify command + modal close animation + status refetch,Add loading skeleton to verify modal; API should return quickly but UI waits for refetch
seed-data-contamination,Tests may interfere if t1/t2 seed data is modified between runs,Delete t1 catalog test then run full suite,n/a,LOW,All E2E tests share same t1/t2 catalog seed; no per-test isolation,Add per-test catalog fixture that creates unique test codes; or add beforeAll seed validation
chaos-test-nightly-not-in-ci,Chaos test never runs in automated CI pipeline,Check .github/workflows — e2e job has if:false,n/a,LOW,Playwright E2E CI job disabled (no persistent VPS env in GitHub Actions),Set up self-hosted runner or enable CI with service containers; wire e2e:lims:nightly to cron schedule
publish-page-polling,Publish page polls every 3s but only when browser tab is active,Navigate away from publish page mid-test,n/a,LOW,setInterval polling pauses when tab is backgrounded; test 06 keeps tab active but worker may be slow,Replace polling with SSE endpoint or WebSocket subscription for real-time document status
admin-app-unhealthy,docker compose ps shows admin and operator as unhealthy,Run docker compose ps,n/a,INFO,Healthcheck endpoint misconfigured for Next.js apps (not a functional issue),Add /api/health route to Next.js apps or fix healthcheck URL in docker-compose.yml
