id,severity,area,classification,finding,evidence,required_action
RISK-01,CRITICAL,worker_container,MISSING,"Worker container cannot execute any backup/restore/healthcheck job. spawnSync('bash' script) calls a host path that does not exist inside the container. Shell scripts call 'docker exec vexel-postgres-1' which requires docker CLI and socket. VEXEL_ROOT and VEXEL_RUNTIME_DIR env vars are not set in the container.","apps/worker/Dockerfile: node:20-alpine, no docker CLI, no bash package. docker-compose.yml worker service: no volumes, no docker socket, no VEXEL_ROOT/VEXEL_RUNTIME_DIR env. ops-backup.processor.ts: spawnSync('bash', [path.join(VEXEL_ROOT, 'ops/backup_full.sh')]). VEXEL_ROOT defaults to '/home/munaim/srv/apps/vexel' (host path).","Add docker socket mount (/var/run/docker.sock:/var/run/docker.sock) and runtime bind mount (./runtime:/home/munaim/srv/apps/vexel/runtime) and ops scripts mount (./ops:/home/munaim/srv/apps/vexel/ops:ro) to worker in docker-compose.yml. Add VEXEL_ROOT and VEXEL_RUNTIME_DIR env vars. Install docker-cli + bash + postgresql-client in worker Dockerfile."
RISK-02,CRITICAL,permissions,MISSING,"OPS permissions (OPS_VIEW, OPS_RUN_BACKUP, OPS_EXPORT_TENANT, OPS_CONFIGURE_SCHEDULES, OPS_CONFIGURE_STORAGE, OPS_RESTORE) are defined but granted to no role in seed.ts. No real user can access any ops feature without manual DB intervention.","apps/api/src/rbac/permissions.ts lines 76-81: 6 OPS permissions defined. apps/api/prisma/seed.ts: no 'ops.' permissions in any role's permission list.","Add OPS_VIEW, OPS_RUN_BACKUP, OPS_EXPORT_TENANT, OPS_CONFIGURE_SCHEDULES, OPS_CONFIGURE_STORAGE to super-admin role in seed.ts. Keep OPS_RESTORE OFF all default roles — require explicit manual grant only."
RISK-03,HIGH,worker_processor,RISK,"Pre-snapshot call in runRestoreApply() passes a fabricated runId ('actualRunId-pre-snap') to runFullBackup(). runFullBackup() calls prisma.opsBackupRun.update({ where: { id: fabricatedId } }) which throws because the record does not exist. Every restore-apply job fails during pre-snapshot.","apps/worker/src/ops-backup.processor.ts: runRestoreApply() calls 'runFullBackup(runId + '-pre-snap', null, logStream, prisma)'. runFullBackup() calls prisma.opsBackupRun.update({ where: { id: runId } }) — Prisma throws P2025 (Record not found) if the id does not exist.","Create a real OpsBackupRun DB record for the pre-snapshot before calling runFullBackup(), or refactor runFullBackup() to accept an optional DB-update flag and skip the update when called from a sub-context."
RISK-04,HIGH,api_service,RISK,"ops_backup_runs.correlationId has a UNIQUE constraint. If an HTTP client retries a backup trigger with the same correlationId (e.g., due to network timeout), the second request fails with Prisma P2002 unique constraint violation, producing a 500 error.","apps/api/prisma/migrations/20260303220000_add_ops_backup_tables/migration.sql: 'CREATE UNIQUE INDEX ops_backup_runs_correlationId_key ON ops_backup_runs(correlationId)'. ops.service.ts: prisma.opsBackupRun.create() with correlationId from request header — no duplicate handling.","Remove the UNIQUE constraint via a new migration, or catch P2002 in the service and return the existing run. A correlationId uniqueness guard may be intentional for idempotency — if so, implement explicit idempotency: check for existing run with same correlationId and return it instead of erroring."
RISK-05,HIGH,shell_scripts,RISK,"All four shell scripts hardcode VEXEL_ROOT as '/home/munaim/srv/apps/vexel'. They do not read from the VEXEL_ROOT env var. This makes them non-portable and will break on any server with a different path.","ops/backup_full.sh:10: VEXEL_ROOT=\"/home/munaim/srv/apps/vexel\". ops/restore_full.sh:26: same. ops/backup_tenant.sh:28: same. None read from $VEXEL_ROOT env var.","Change all scripts to: VEXEL_ROOT=\"${VEXEL_ROOT:-/home/munaim/srv/apps/vexel}\" so the env var takes precedence. Pass VEXEL_ROOT from worker via the process.env block in ops-backup.processor.ts."
RISK-06,HIGH,scheduler,STUB,"OpsSchedule records with cronExpression can be created and stored via the API and admin UI, but there is no cron executor. Schedules are never triggered. Users creating schedules expect automated backups that will never run.","Searched apps/api/src/ and apps/worker/src/ for: @Cron, CronJob, node-cron, BullMQ repeatable jobs for ops — none found. ops_schedules table and OpsSchedule model exist. Admin /ops/schedules/ UI allows creating schedules.","Either: (a) Implement a BullMQ repeatable job or NestJS @Cron-based executor that reads enabled schedules and fires backup jobs. Or (b) Clearly label the schedule feature as 'Coming Soon' in the UI and document that schedules require external cron (e.g., host crontab calling the API)."
RISK-07,HIGH,restore,RISK,"restore_full.sh performs DROP DATABASE vexel unconditionally. There is no environment guard (e.g., NODE_ENV check, ALLOW_RESTORE=true guard). The restore endpoint is accessible in production admin UI to any user with OPS_RESTORE permission.","ops/restore_full.sh:79: docker exec vexel-postgres-1 psql -U vexel postgres -c 'DROP DATABASE IF EXISTS vexel;'. ops/restore_full.sh:82: 'CREATE DATABASE vexel OWNER vexel;'. No NODE_ENV or ALLOW_RESTORE environment check.","Add a VEXEL_ALLOW_RESTORE=true env var requirement in restore_full.sh and in the API service. Consider keeping OPS_RESTORE off all seeded roles permanently and requiring explicit manual grants per incident."
RISK-08,MEDIUM,storage,STUB,"S3/MinIO storage targets can be created and stored in the DB but the worker processor has no S3 upload code. When a backup completes, artifacts are only written to local filesystem. The 'test' job for non-LOCAL targets does nothing beyond logging.","ops-backup.processor.ts: runFullBackup() writes to BACKUPS_FULL (local path). No S3Client, no MinIO SDK, no AWS SDK usage found in ops-backup.processor.ts. testStorageTarget() service method returns 'Test job queued' for non-LOCAL types but the test job processor is not implemented.","Either implement S3 upload in the processor after script completion, or remove S3 from the storage target type options in the UI/contract until it is implemented."
RISK-09,MEDIUM,tenant_isolation,PARTIAL,"backup_tenant.sh interpolates tenantId into a psql -c SQL command as a shell variable. Validation regex ^[a-zA-Z0-9_-]{1,64}$ prevents most injection, but the SQL is not parameterized.","ops/backup_tenant.sh:~92: docker exec vexel-postgres-1 psql -U vexel -c \"\\\\COPY (SELECT * FROM ${TABLE} WHERE \\\"tenantId\\\" = '${TENANT_ID}') TO STDOUT...\". Validator in processor: validateTenantId() with same regex.","Use psql --set and a quoted parameter mechanism, or switch to pg_dump with --table and a custom select, to avoid any direct variable interpolation in SQL."
RISK-10,MEDIUM,secrets,PARTIAL,"BACKUP_PASSPHRASE defaults to '$(hostname)-vexel-backup' if not set. This passphrase is predictable and weak. It is not set in docker-compose.yml or documented as a required production env var.","ops/backup_full.sh:52-54: 'BACKUP_PASSPHRASE=${BACKUP_PASSPHRASE:-}; if [ -z \"$PASSPHRASE\" ]; then PASSPHRASE=\"$(hostname)-vexel-backup\"; fi'. docker-compose.yml: no BACKUP_PASSPHRASE entry for worker or api.","Add BACKUP_PASSPHRASE to docker-compose.yml (loaded from .env), add to .env.example, and document in docs/ops/ as a required production secret."
